mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,zcr,form1,form2,form3,form4,m_centr,m_rollof,m_flatness,label
-0.78704,-0.6879,-0.63379,-0.60716,-0.69722,-0.68636,-0.64389,-0.67795,-0.66523,-0.65981,-0.68947,-0.64659,-0.70327,0.16811,1183.9,2316.4,3217.3,4129.5,3073.9,7678.9,0.042255,bird
-0.58914,-0.64795,-0.71224,-0.81586,-0.78982,-0.67702,-0.64601,-0.59986,-0.58828,-0.69768,-0.63486,-0.67729,-0.72431,0.2332,346.19,1115.5,2162.3,3398.3,3610.3,15031,0.11118,bird
-1.3959,-1.3615,-1.3094,-1.268,-1.2777,-1.3909,-1.4044,-1.1848,-1.1785,-1.2814,-1.3664,-1.3684,-1.3214,0.12514,1614.2,2004,2360.5,3475,2643.3,3463.6,0.0074333,bird
-1.3668,-1.3678,-1.3729,-1.3371,-1.4166,-1.4113,-1.3054,-1.3265,-1.423,-1.3592,-1.3767,-1.32,-1.3703,0.16527,897.9,1472.7,2419.7,2919,3496.2,5184.3,0.013361,bird
-1.2566,-1.0814,-1.0296,-1.0256,-1.1196,-1.0665,-1.1778,-1.0619,-1.054,-1.088,-1.051,-1.0227,-1.0763,0.21134,822.68,1696.6,2600.2,3680.9,3695,12919,0.087818,bird
-1.1827,-1.0881,-1.2269,-1.1857,-1.2106,-1.0911,-1.0668,-0.98903,-1.0567,-1.0262,-1.0795,-1.135,-1.0392,0.2225,553.87,1490.5,3006.7,4204.3,4466.2,6444.4,0.0041858,bird
-1.0404,-1.1137,-1.0888,-1.1258,-1.0973,-1.1169,-1.1568,-1.2176,-1.0379,-1.0699,-1.0799,-1.1744,-1.1311,0.071896,891.02,2140.5,3649.1,3668.5,698.83,4639.2,0.0015258,bird
-0.89053,-0.87406,-0.84112,-0.88025,-0.93308,-0.94742,-1.0843,-0.90235,-0.84856,-0.80342,-0.82692,-0.80182,-0.85775,0.1663,517.11,1387.2,2947.6,3331.7,3755.4,6021.4,0.0076181,bird
-1.0374,-0.95218,-0.83842,-0.91222,-1.0119,-1.0177,-0.98732,-0.916,-0.92228,-1.0655,-1.0556,-1.0596,-0.9915,0.19974,2010.4,2956.9,3788.1,4130.2,4404.8,6421.7,0.0081112,bird
-1.2083,-1.21,-1.2684,-1.2504,-1.241,-1.2714,-1.2416,-1.2586,-1.2606,-1.1856,-1.2495,-1.2706,-1.1956,0.11629,485.5,2071.8,2590.9,3619.5,2378.6,3951.8,0.0059646,bird
-0.9979,-0.99476,-0.97469,-1.0914,-1.1284,-1.0149,-0.97504,-0.9281,-0.95668,-0.98454,-0.90296,-0.92982,-1.0316,0.14522,597.04,1854.2,3215.9,3546.2,2634.5,5140,0.0086919,bird
-1.149,-1.0986,-1.0644,-1.1973,-1.1593,-1.1376,-1.1539,-1.1095,-1.109,-1.1037,-1.0424,-1.0352,-1.0567,0.026844,548.69,1279.7,2878.3,3672.9,568.79,690.48,0.0031872,bird
-0.86321,-0.78467,-0.76335,-0.81822,-0.90142,-0.93914,-0.79263,-0.7935,-0.80718,-0.76208,-0.7235,-0.6788,-0.68469,0.054222,537.8,921.19,1831,3221.3,1021.4,1795.6,0.0033271,bird
-0.80672,-0.82842,-0.83526,-0.87787,-0.82259,-0.88644,-0.83631,-0.76867,-0.76687,-0.86342,-0.79575,-0.74045,-0.79975,0.046419,553.84,954.41,1863.9,2912.3,843.53,1999.2,0.0029534,bird
-0.67706,-0.72541,-0.70299,-0.72042,-0.69646,-0.68721,-0.63773,-0.60854,-0.71928,-0.67216,-0.66143,-0.70064,-0.74054,0.074473,209.63,997.81,2483.9,4209.7,1030.6,2830.9,0.0073661,bird
-1.3475,-1.2815,-1.5375,-1.5603,-1.5559,-1.3041,-1.3328,-1.3176,-1.4384,-1.2572,-1.3459,-1.4983,-1.3453,0.1919,1938.4,2951.3,3311.8,3918.1,4196.4,4974.2,0.0033026,bird
-0.41608,-0.34967,-0.46172,-0.36515,-0.35737,-0.39599,-0.31852,-0.41945,-0.46494,-0.38268,-0.38878,-0.48833,-0.39102,0.14289,366.21,1169,2250.1,3056.2,2475.7,5484.5,0.023792,bird
-0.69213,-0.63869,-0.7383,-0.72802,-0.66897,-0.6402,-0.5377,-0.59134,-0.60562,-0.59463,-0.63963,-0.66017,-0.65096,0.22469,335.58,1313.1,2695.2,3561.3,4595.8,6728.5,0.028954,bird
-0.52674,-0.43626,-0.48593,-0.48429,-0.37891,-0.49214,-0.44463,-0.4465,-0.47402,-0.53864,-0.40165,-0.40925,-0.54719,0.17725,270.77,1587.7,3098.1,3669.2,3687.1,4761.3,0.016046,bird
-0.90963,-0.88785,-0.84229,-0.83438,-0.90112,-0.8294,-0.8042,-0.85662,-0.87821,-0.84522,-0.9371,-0.90495,-0.79459,0.052628,900.17,2110.3,3675.9,4108.8,555.28,2782.4,0.0053878,bird
-0.7684,-0.82821,-0.85048,-0.84888,-0.87518,-0.8497,-0.85926,-0.89367,-0.84024,-0.87909,-0.86813,-0.82993,-0.73161,0.036961,144.82,849.45,2245.1,3273.4,292.93,1456.6,0.0027211,bird
-1.0666,-0.98763,-0.95631,-1.0495,-1.0862,-1.1404,-1.0103,-0.95043,-1.0765,-1.064,-0.89348,-1.0277,-1.102,0.17316,1184.3,2079.2,2511.7,4106.2,3191.3,7025.5,0.033214,bird
-1.0203,-1.0139,-1.0375,-1.1733,-1.0795,-1.0801,-1.0461,-1.0263,-1.0534,-0.94245,-1.0858,-1.0746,-1.063,0.19404,988.28,2009.2,2687.7,4707.1,4030.6,6354,0.019213,bird
-1.2379,-1.21,-1.1598,-1.2003,-1.1691,-1.1906,-1.1438,-1.0341,-1.158,-1.1246,-1.2095,-1.0899,-1.1143,0.081252,257.32,1176,2574.8,2962.9,1458.5,2911,0.0064386,bird
-0.96681,-1.1356,-1.0926,-1.0096,-0.96842,-1.0508,-1.0952,-1.0704,-0.98501,-0.95159,-1.0011,-1.0456,-1.0135,0.19058,1033.5,1780.5,2644.3,3547,3964.8,5066.7,0.0041881,bird
-1.0222,-1.1371,-1.1709,-1.0418,-1.0278,-1.1641,-1.0586,-1.0487,-1.0949,-1.117,-1.0414,-1.1273,-0.9467,0.16055,1014.3,2807.2,3225.1,3909.9,3553.3,4081.6,0.0038895,bird
-0.86862,-0.9311,-0.90949,-0.88206,-0.84578,-0.87518,-0.8487,-0.90981,-0.98879,-1.0476,-0.89718,-0.78793,-0.89122,0.099439,446.4,2146.4,2335.2,3168.3,1769.7,3234.6,0.0065629,bird
-0.73073,-0.69179,-0.72947,-0.7782,-0.77231,-0.8557,-0.8046,-0.7328,-0.67371,-0.73001,-0.78319,-0.77258,-0.8305,0.042028,1114.9,2154.8,3571.5,4556.6,562,2138.4,0.0031849,bird
-0.82088,-0.83636,-0.76863,-0.79943,-0.8892,-0.81539,-0.74712,-0.87158,-0.84999,-0.91778,-0.84588,-0.90405,-0.85796,0.070576,501.96,1329.6,2233.4,3241.7,1262.1,2525.3,0.0030119,bird
-1.4195,-1.493,-1.4576,-1.3982,-1.3943,-1.4062,-1.4471,-1.5209,-1.5681,-1.6377,-1.7686,-1.7419,-1.6996,0.27043,1179.3,2053.3,2905.1,3797.8,5834.3,7992,0.02844,bird
-0.75454,-0.67293,-0.57766,-0.63939,-0.67422,-0.68229,-0.74692,-0.62989,-0.62194,-0.62054,-0.63923,-0.64583,-0.73425,0.22237,243.56,1440,2318.2,3444.3,4020,8097.6,0.018832,bird
-0.8084,-0.77325,-0.76448,-0.78364,-0.82575,-0.76913,-0.79628,-0.77557,-0.79295,-0.84818,-0.79365,-0.83116,-0.86843,0.091797,305.66,1042.4,2568.4,3168.9,1498.8,3296.5,0.0072002,bird
-1.3941,-1.5164,-1.406,-1.399,-1.4228,-1.3387,-1.3606,-1.2581,-1.2351,-1.3431,-1.418,-1.283,-1.239,0.15802,895.01,1561.3,3556.1,4255.7,3413.1,4788,0.0067327,bird
-1.2826,-1.3535,-1.2476,-1.3381,-1.319,-1.4195,-1.359,-1.3152,-1.2915,-1.3567,-1.445,-1.3075,-1.3362,0.15515,823.09,1177.1,1667.5,3694.6,3306.5,4744.4,0.0076856,bird
-1.4358,-1.4844,-1.3672,-1.4798,-1.508,-1.5253,-1.5495,-1.4348,-1.4033,-1.4295,-1.4999,-1.5247,-1.4852,0.19243,823.6,1942.1,2964.4,3413.4,3690.5,7687.5,0.048128,bird
